PeakTime,PeakFlux,StartFWTM,EndFWTM,FittedSNR,DecayTau,RiseSigma,Fitted_A,R_squared
273630978.5529307,1073.8230015316253,273630773.2200228,273632833.45867234,58.71210284216754,370.98114832592347,136.88860526815034,2118.299142257142,0.9793972337625201
273638165.32647777,613.0443126189361,273637391.8195953,273638456.3627707,61.54536399348702,58.20725858697152,515.6712549851702,616.868990486621,0.5684540998778491
273643197.631087,1117.4097324897857,273643123.91142327,273643834.8747057,21.96601596640025,127.44872373469475,49.14644249948189,2150.1640137183585,0.9943738320683483
273645818.63309103,546.7191218767831,273645721.25038844,273647031.69302404,16.11939313270019,242.61198659640357,64.9218017357922,1311.4500158395085,0.9687112622716307
273649410.21625733,870.824417885752,273649256.86083496,273650640.0328027,33.90007337204376,245.96330907886676,102.23694823445707,1608.0149453735767,0.957545067006499
273668865.6070389,264.4623384332828,273668629.0830721,273670155.62230974,14.155140403879104,258.0030541670788,157.68264452392594,404.493883758051,0.8673925374910636
273674107.85152787,199.5999543554485,273673840.8003646,273674828.81687665,10.084960168703327,144.1930697516255,178.03410884020604,240.18804992638817,0.9102823191769074
273680434.42467415,482.4760883796349,273679871.02483743,273680651.0578166,38.481611043991826,43.326628498174124,375.59989115654406,485.61564453893783,0.55285310795984
273684263.60303086,2716.382047416069,273684067.5348089,273687065.14959407,200.79429188613724,560.3093126434329,130.71214800072707,7134.71887593693,0.840857170838065
273690606.04792064,326.39944365931757,273690510.98936576,273691557.72943294,9.332711926082744,190.33630245935933,63.37236992575235,683.6121584918905,0.9439845587799329
273693499.03389263,673.8365082877789,273692907.61200744,273693722.8459308,50.74086245029861,44.7624076328067,394.2812567756896,678.0863900129636,0.9515690275027392
273698527.2503255,1129.4567620093853,273698288.80157775,273699773.97995037,55.271041111368454,249.34592496832892,158.96583185132545,1696.3647845613339,0.9593944983364189
273706274.1040329,1216.6753886874208,273706101.1630522,273707363.81698394,52.036850266727114,217.94259021758631,115.29398711207922,1987.6193346227847,0.9732411729649547
273711392.01986456,217.27775530911927,273711032.2238279,273711528.37604636,11.679440441256627,27.27123636194529,239.8640244388557,218.65232731107858,0.7602597862204261
