TIME,RATE,ERROR,FRACEXP
274752103.79108006,2579.8472,50.792194,1.0
274752104.79108006,2523.2305,50.231766,1.0
274752105.79108006,2617.5452,51.16195,1.0
274752106.79108006,2449.866,49.49612,1.0
274752107.79108006,2505.2195,50.052166,1.0
274752108.79108006,2483.2742,49.832462,1.0
274752109.79108006,2611.78,51.105576,1.0
274752110.79108006,2544.1118,50.43919,1.0
274752111.79108006,2628.281,51.26676,1.0
274752112.79108006,2578.5952,50.77987,1.0
274752113.79108006,2607.8525,51.06714,1.0
274752114.79108006,2617.191,51.15849,1.0
274752115.79108006,2610.8977,51.096943,1.0
274752116.79108006,2622.193,51.207355,1.0
274752117.79108006,2488.0251,49.880108,1.0
274752118.79108006,2562.2986,50.619152,1.0
274752119.79108006,2551.2708,50.510105,1.0
274752120.79108006,2508.4617,50.084545,1.0
274752121.79108006,2627.803,51.2621,1.0
274752122.79108006,2643.761,51.417515,1.0
274752123.79108006,2560.2861,50.59927,1.0
274752124.79108006,2574.5645,50.740166,1.0
274752125.79108006,2570.5105,50.700203,1.0
274752126.79108006,2549.9902,50.49743,1.0
274752127.79108006,2643.426,51.41426,1.0
274752128.79108006,2519.566,50.19528,1.0
274752129.79108006,2555.3447,50.55042,1.0
274752130.79108006,2584.3591,50.836594,1.0
274752131.79108006,2567.4973,50.67048,1.0
274752132.79108006,2522.2224,50.221733,1.0
274752133.79108006,2542.5933,50.424133,1.0
274752134.79108006,2620.881,51.194542,1.0
274752135.79108006,2499.8123,49.998123,1.0
274752136.79108006,2612.7805,51.115364,1.0
274752137.79108006,2566.6292,50.66191,1.0
274752138.79108006,2696.1436,51.924404,1.0
274752139.79108006,2632.1873,51.304848,1.0
274752140.79108006,2603.338,51.022915,1.0
274752141.79108006,2562.905,50.62514,1.0
274752142.79108006,2677.0032,51.739765,1.0
274752143.79108006,2544.5237,50.44327,1.0
274752144.79108006,2516.5757,50.16548,1.0
274752145.79108006,2595.4436,50.945496,1.0
274752146.79108006,2532.9062,50.327988,1.0
274752147.79108006,2602.4329,51.014046,1.0
274752148.79108006,2608.078,51.069344,1.0
274752149.79108006,2559.8328,50.59479,1.0
274752150.79108006,2550.9026,50.506462,1.0
274752151.79108006,2460.6719,49.60516,1.0
274752152.79108006,2565.0483,50.646305,1.0
274752153.79108006,2513.704,50.136852,1.0
274752154.79108006,2586.9817,50.86238,1.0
274752155.79108006,2657.3098,51.549103,1.0
274752156.79108006,2613.0076,51.117584,1.0
274752157.79108006,2574.906,50.74353,1.0
274752158.79108006,2510.4204,50.104095,1.0
274752159.79108006,2619.0354,51.176514,1.0
274752160.79108006,2674.534,51.715897,1.0
274752161.79108006,2531.5269,50.31428,1.0
